ncrb_state_raw,ncrb_district_raw,canonical_state,canonical_district,state_code,district_code_pc11
UTTAR PRADESH,Mau,UTTAR PRADESH,MAU,9,192.0
MADHYA PRADESH,Bhopal Railway,MADHYA PRADESH,BHOPAL,23,444.0
MADHYA PRADESH,NIWAR,MADHYA PRADESH,TIKAMGARH,23,424.0
UTTAR PRADESH,Amroha,UTTAR PRADESH,AMROHA,9,137.0
KARNATAKA,Haveri,KARNATAKA,HAVERI,29,564.0
MAHARASHTRA,Nagpur Commr.,MAHARASHTRA,NAGPUR,27,505.0
MAHARASHTRA,Aurangabad Rural,MAHARASHTRA,AURANGABAD,27,515.0
UTTAR PRADESH,Hardoi,UTTAR PRADESH,HARDOI,9,155.0
CHHATTISGARH,Rajnandgaon,CHHATTISGARH,RAJNANDGAON,22,408.0
MANIPUR,Pherzawl,MANIPUR,CHURACHANDPUR,14,274.0
RAJASTHAN,Kota Rural,RAJASTHAN,KOTA,8,127.0
Telangana,Hyderabad Commissionerate,Telangana,HYDERABAD CITY,28,536.0
HARYANA,Ambala (Urban),HARYANA,AMBALA,6,70.0
TAMIL NADU,Krishnagiri,TAMIL NADU,DHARMAPURI,33,630.0
MEGHALAYA,Khasi Hills South West,MEGHALAYA,KHASI HILLS WEST,17,296.0
ARUNACHAL PRADESH,Anjaw,ARUNACHAL PRADESH,LOHIT,12,259.0
MAHARASHTRA,Ratnagiri,MAHARASHTRA,RATNAGIRI,27,528.0
JAMMU & KASHMIR,Jammu,JAMMU & KASHMIR,JAMMU,1,21.0
ODISHA,Ganjam,ODISHA,GANJAM,21,388.0
WEST BENGAL,Purba Bardhaman,WEST BENGAL,BURDWAN,19,335.0
RAJASTHAN,JAIPUR RURAL,RAJASTHAN,JAIPUR,8,110.0
DELHI UT,New Delhi,DELHI UT,NEW DELHI,7,94.0
WEST BENGAL,Sundarban Police,WEST BENGAL,24 PARGANAS SOUTH,19,343.0
CHHATTISGARH,Kabirdham,CHHATTISGARH,KAWARDHA,22,407.0
WEST BENGAL,Darjeeling,WEST BENGAL,DARJEELING,19,327.0
ASSAM,Dhemaji,ASSAM,DHEMAJI,18,308.0
ANDHRA PRADESH,Krishna,ANDHRA PRADESH,KRISHNA,28,547.0
BIHAR,Nalanda,BIHAR,NALANDA,10,229.0
JAMMU & KASHMIR,Railways Jammu,JAMMU & KASHMIR,JAMMU,1,21.0
TAMIL NADU,Kanyakumari,TAMIL NADU,KANYAKUMARI,33,629.0
CHHATTISGARH,Kondagaon,CHHATTISGARH,BASTAR,22,414.0
MAHARASHTRA,Latur,MAHARASHTRA,LATUR,27,524.0
PUNJAB,Kapurthala,PUNJAB,KAPURTHALA,3,36.0
UTTARAKHAND,Chamoli,UTTARAKHAND,CHAMOLI,5,57.0
DELHI UT,Central,DELHI UT,CENTRAL,7,95.0
UTTARAKHAND,Nainital,UTTARAKHAND,NAINITAL,5,66.0
RAJASTHAN,PRATAPGARH,RAJASTHAN,CHITTORGARH,8,126.0
RAJASTHAN,Churu,RAJASTHAN,CHURU,8,102.0
KERALA,ERNAKULAM COMMR.,KERALA,ERNAKULAM,32,595.0
ASSAM,South Salmara,ASSAM,DHUBRI,18,301.0
MAHARASHTRA,Nagpur Rural,MAHARASHTRA,NAGPUR,27,505.0
GUJARAT,Valsad,GUJARAT,VALSAD,24,491.0
BIHAR,Banka,BIHAR,BANKA,10,225.0
KARNATAKA,Chamarajnagar,KARNATAKA,CHAMARAJNAGAR,29,578.0
NAGALAND,Dimapur,NAGALAND,DIMAPUR,13,265.0
MAHARASHTRA,THANE RURAL,MAHARASHTRA,THANE,27,517.0
KARNATAKA,Yadgiri,KARNATAKA,GULBARGA,29,579.0
BIHAR,Madhepura,BIHAR,MADHEPURA,10,213.0
UTTAR PRADESH,Rampur,UTTAR PRADESH,RAMPUR,9,136.0
Telangana,Nizamabad,Telangana,NIZAMABAD,28,533.0
MANIPUR,Imphal East,MANIPUR,IMPHAL EAST,14,278.0
CHHATTISGARH,Jashpur,CHHATTISGARH,JASHPUR,22,402.0
TAMIL NADU,Coimbatore,TAMIL NADU,COIMBATORE,33,632.0
NAGALAND,Kiphire,NAGALAND,KIPHIRE,13,269.0
NAGALAND,LONGLENG,NAGALAND,TUENSANG,13,267.0
